epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.15,1.68136,3.2171,1.58017,0.44809,0.37401,0.33997,0.14673,1.76564,4.68086,1.57489,0.00333144,0.00333144,0.00333144
2,612.803,1.77782,2.44451,1.64078,0.4135,0.38834,0.32154,0.13908,1.67597,2.76465,1.5362,0.00659879,0.00659879,0.00659879
3,898.043,1.89329,2.33484,1.74691,0.39396,0.39883,0.3529,0.14826,1.74405,4.17418,1.62471,0.00980015,0.00980015,0.00980015
4,1186.46,1.90471,2.22814,1.7694,0.38069,0.38526,0.33481,0.14297,1.76635,4.82315,1.65646,0.009703,0.009703,0.009703
5,1470.28,1.8364,2.08181,1.72024,0.53442,0.43295,0.43781,0.20113,1.62593,2.73572,1.53337,0.009604,0.009604,0.009604
6,1754.9,1.76959,1.96056,1.67479,0.5299,0.44471,0.46043,0.21874,1.59672,3.26182,1.49624,0.009505,0.009505,0.009505
7,2047.42,1.73732,1.89522,1.64592,0.55522,0.51576,0.52801,0.25456,1.55349,2.37643,1.4636,0.009406,0.009406,0.009406
8,2333.71,1.701,1.80972,1.60789,0.57044,0.46772,0.49841,0.24402,1.5563,1.98859,1.45082,0.009307,0.009307,0.009307
9,2624.01,1.68978,1.76542,1.60215,0.60371,0.51875,0.55463,0.28137,1.47699,1.98697,1.4147,0.009208,0.009208,0.009208
10,2913.08,1.65907,1.7347,1.58274,0.61068,0.54236,0.57532,0.29148,1.47359,2.14027,1.39904,0.009109,0.009109,0.009109
11,3200.33,1.64123,1.67851,1.55899,0.60858,0.5452,0.57746,0.30128,1.42553,1.76164,1.35864,0.00901,0.00901,0.00901
12,3486.72,1.61969,1.64566,1.54322,0.63854,0.54,0.59123,0.30937,1.43154,1.72728,1.35057,0.008911,0.008911,0.008911
13,3774.84,1.59857,1.60915,1.53646,0.63553,0.56098,0.60661,0.32128,1.39333,1.71946,1.33636,0.008812,0.008812,0.008812
